# Measuring Scanner Data
# 
# Format Information:
# <distance> <rotation> <shift>
# Distance to Center: 0.2554

-0.03310001 8.0 0.003
-0.03310001 8.0 0.002
-0.032299995 8.0 0.001
-0.032100007 16.0 0.0
-0.031900004 16.0 0.001
-0.031900004 16.0 0.002
-0.033000007 16.0 0.003
-0.033000007 16.0 0.004
-0.0387 16.0 0.0050000004
-0.0387 16.0 0.006
-0.0405 16.0 0.007
-0.041800007 16.0 0.008
-0.041800007 16.0 0.009000001
-0.042600006 16.0 0.010000001
-0.042600006 16.0 0.011000001
-0.043500006 16.0 0.012
-0.043699995 16.0 0.013
-0.043699995 16.0 0.014
-0.04450001 16.0 0.015000001
-0.04450001 16.0 0.016
-0.04450001 16.0 0.017
-0.044400007 16.0 0.018000001
-0.0448 16.0 0.019000001
-0.0448 16.0 0.020000001
-0.044200003 16.0 0.021000002
-0.043899998 16.0 0.022000002
-0.043899998 16.0 0.023000002
-0.0431 16.0 0.024
-0.0431 16.0 0.025
-0.042700008 16.0 0.026
-0.042700008 16.0 0.027
-0.041099995 16.0 0.028
-0.041099995 16.0 0.029000001
-0.037400007 16.0 0.030000001
-0.037400007 16.0 0.031000001
-0.0264 16.0 0.032
-0.0264 16.0 0.033
-0.0264 16.0 0.034
-0.017100006 16.0 0.035
-0.017100006 16.0 0.036000002
-0.0056000054 16.0 0.037
-0.004400015 16.0 0.038000003
-0.0042999983 16.0 0.039
-0.004099995 16.0 0.040000003
-0.0011000037 16.0 0.041
0.002000004 16.0 0.042000003
0.002000004 16.0 0.043
9.999871E-4 16.0 0.044000003
2.9999018E-4 16.0 0.045
-2.0000339E-4 16.0 0.046000004
-0.0013999939 16.0 0.047000002
-0.0022999942 16.0 0.048
-0.0027999878 16.0 0.049000002
-0.0036000013 16.0 0.05
-0.004099995 16.0 0.051000003
-0.004099995 16.0 0.052
-0.004700005 16.0 0.053000003
-0.0045999885 16.0 0.054
-0.004999995 16.0 0.055000003
-0.005100012 16.0 0.056
-0.004999995 16.0 0.057000004
-0.004700005 16.0 0.058000002
-0.0042000115 16.0 0.059000004
-0.004799992 16.0 0.060000002
-0.0042999983 16.0 0.061000004
-0.004400015 16.0 0.062000003
-0.004000008 16.0 0.063
-0.004000008 16.0 0.064
-0.0045999885 16.0 0.065000005
-0.0045000017 16.0 0.066
-0.004700005 16.0 0.067
-0.005100012 16.0 0.068
-0.005400002 16.0 0.069000006
-0.005800009 16.0 0.07
-0.005800009 16.0 0.071
-0.0167 16.0 0.072000004
-0.0167 16.0 0.07300001
-0.020500004 16.0 0.074
-0.020500004 16.0 0.075
-0.019099995 16.0 0.076000005
-0.019099995 16.0 0.07700001
-0.017299995 16.0 0.078
-0.017299995 16.0 0.079
-0.016900003 16.0 0.080000006
-0.016900003 16.0 0.081
-0.018800005 16.0 0.082
-0.018800005 16.0 0.083000004
-0.017200008 16.0 0.08400001
-0.017200008 16.0 0.085
-0.011700004 16.0 0.086
-0.011700004 16.0 0.087000005
-0.011700004 16.0 0.08800001
-0.010900006 16.0 0.089
-0.010900006 16.0 0.09
-0.009800002 16.0 0.091000006
-0.009800002 16.0 0.09200001
-0.009800002 16.0 0.093
-0.0072000027 16.0 0.094000004
-0.0072000027 16.0 0.095000006
0.6869 16.0 0.096
0.6873 16.0 0.097
0.6872 16.0 0.098000005
0.6872 16.0 0.09900001
0.6873 24.0 0.1
0.6874 24.0 0.09900001
0.6874 24.0 0.098000005
0.6863 24.0 0.097
0.6863 24.0 0.096
0.6863 24.0 0.095000006
-0.0076999962 24.0 0.094000004
-0.0076999962 24.0 0.093
-0.009200007 24.0 0.09200001
-0.009200007 24.0 0.091000006
-0.009200007 24.0 0.09
-0.011000007 24.0 0.089
-0.011000007 24.0 0.08800001
-0.011000007 24.0 0.087000005
-0.011000007 24.0 0.086
-0.011000007 24.0 0.085
-0.012000009 24.0 0.08400001
-0.012000009 24.0 0.083000004
-0.013899997 24.0 0.082
-0.013899997 24.0 0.081
-0.013899997 24.0 0.080000006
-0.015200004 24.0 0.079
-0.015200004 24.0 0.078
-0.017900005 24.0 0.07700001
-0.017900005 24.0 0.076000005
-0.017900005 24.0 0.075
-0.019700006 24.0 0.074
-0.019700006 24.0 0.07300001
-0.019299999 24.0 0.072000004
-0.006099999 24.0 0.071
-0.0055000037 24.0 0.07
-0.005100012 24.0 0.069000006
-0.0051999986 24.0 0.068
-0.004400015 24.0 0.067
-0.004400015 24.0 0.066
-0.0042000115 24.0 0.065000005
-0.0042999983 24.0 0.064
-0.0042000115 24.0 0.063
