# Point cloud data.
# File created by cg software.
# (C) Hochschule f√ºr Angewandte Wissenschaften, Hamburg.
#
# Format: pos0; Ñpos1; Ñpos2; Ñnor0; Ñnor1; Ñnor2
#
-0,000093; Ñ0,059000; Ñ-0,005432; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,060000; Ñ-0,005132; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,061000; Ñ-0,005032; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,062000; Ñ-0,004932; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,063000; Ñ-0,004832; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,064000; Ñ-0,004932; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,065000; Ñ-0,005032; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,066000; Ñ-0,005432; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,067000; Ñ-0,005932; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,068000; Ñ-0,012832; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,069000; Ñ-0,018932; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,070000; Ñ-0,017932; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,071000; Ñ-0,017932; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,072000; Ñ-0,016832; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,073000; Ñ-0,016832; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,074000; Ñ-0,016832; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,075000; Ñ-0,014832; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,076000; Ñ-0,014832; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,077000; Ñ-0,013432; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,078000; Ñ-0,013432; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,079000; Ñ-0,013432; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,080000; Ñ-0,011332; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,081000; Ñ-0,011332; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,082000; Ñ-0,010032; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,083000; Ñ-0,010032; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,084000; Ñ-0,009932; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,085000; Ñ-0,009932; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,086000; Ñ-0,008532; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,087000; Ñ-0,008532; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,088000; Ñ-0,008532; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,089000; Ñ-0,007432; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,090000; Ñ-0,007432; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,091000; Ñ-0,005432; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,092000; Ñ-0,005432; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,093000; Ñ-0,005432; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,000093; Ñ0,094000; Ñ0,625668; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,043765; Ñ0,095000; Ñ0,624536; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,043723; Ñ0,094000; Ñ0,623938; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,042524; Ñ0,093000; Ñ0,606780; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,042524; Ñ0,092000; Ñ0,606780; Ñ0,000000; Ñ0,000000; Ñ0,000000
-0,042524; Ñ0,091000; Ñ0,606780; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000349; Ñ0,090000; Ñ-0,006323; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000349; Ñ0,089000; Ñ-0,006323; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000349; Ñ0,088000; Ñ-0,006323; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000446; Ñ0,087000; Ñ-0,007720; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000446; Ñ0,086000; Ñ-0,007720; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000495; Ñ0,085000; Ñ-0,008418; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000495; Ñ0,084000; Ñ-0,008418; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000544; Ñ0,083000; Ñ-0,009116; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000544; Ñ0,082000; Ñ-0,009116; Ñ0,000000; Ñ0,000000; Ñ0,000000
0,000621; Ñ0,081000; Ñ-0,010214; Ñ0,000000; Ñ0,000000; Ñ0,000000
