# Measuring Scanner Data
# 
# Format Information:
# <distance> <rotation> <shift>
# Distance to Center: 0.2554

0.2279 32.0 0.029000001
0.2281 32.0 0.030000001
0.2281 32.0 0.031000001
0.2276 32.0 0.032
0.2276 32.0 0.033
0.2271 32.0 0.034
0.2271 32.0 0.035
0.2271 32.0 0.036000002
0.871 32.0 0.037
0.8719 32.0 0.038000003
0.8716 32.0 0.039
0.8718 32.0 0.040000003
0.8718 32.0 0.041
0.872 32.0 0.042000003
0.8724 32.0 0.043
0.8719 32.0 0.044000003
0.8718 32.0 0.045
0.8722 32.0 0.046000004
0.872 32.0 0.047000002
0.8722 32.0 0.048
0.8722 32.0 0.049000002
0.8721 40.0 0.05
0.8721 40.0 0.049000002
0.872 40.0 0.048
0.8719 40.0 0.047000002
0.8717 40.0 0.046000004
0.8722 40.0 0.045
0.8723 40.0 0.044000003
0.8721 40.0 0.043
0.8721 40.0 0.042000003
0.8715 40.0 0.041
0.8717 40.0 0.040000003
0.8719 40.0 0.039
0.8717 40.0 0.038000003
0.844 40.0 0.037
0.844 40.0 0.036000002
0.2278 40.0 0.035
0.2278 40.0 0.034
0.2287 40.0 0.033
0.2287 40.0 0.032
0.228 40.0 0.031000001
0.228 40.0 0.030000001
0.2281 40.0 0.029000001
0.2281 40.0 0.028
0.2285 40.0 0.027
0.2285 40.0 0.026
0.2282 40.0 0.025
0.2282 40.0 0.024
0.228 40.0 0.023000002
0.228 40.0 0.022000002
0.2283 40.0 0.021000002
0.2283 40.0 0.020000001
0.2283 40.0 0.019000001
0.2283 40.0 0.018000001
0.2285 40.0 0.017
0.2285 40.0 0.016
0.2275 40.0 0.015000001
0.2275 40.0 0.014
0.2286 40.0 0.013
0.2286 40.0 0.012
0.2282 40.0 0.011000001
0.2282 40.0 0.010000001
0.2279 40.0 0.009000001
0.2279 40.0 0.008
0.2287 40.0 0.007
0.2287 40.0 0.006
0.2278 40.0 0.0050000004
0.2278 40.0 0.004
0.2272 40.0 0.003
0.2223 40.0 0.002
0.2185 48.0 0.0
0.2223 48.0 0.001
0.2223 48.0 0.002
0.2274 48.0 0.003
0.2274 48.0 0.004
0.2284 48.0 0.0050000004
0.2284 48.0 0.006
0.2284 48.0 0.007
0.2284 48.0 0.008
0.2286 48.0 0.009000001
0.2285 48.0 0.010000001
0.2285 48.0 0.011000001
0.2283 48.0 0.012
0.2283 48.0 0.013
0.2289 48.0 0.014
0.2289 48.0 0.015000001
0.2285 48.0 0.016
0.2285 48.0 0.017
0.2284 48.0 0.018000001
0.2284 48.0 0.019000001
0.2286 48.0 0.020000001
0.2286 48.0 0.021000002
0.2287 48.0 0.022000002
0.2287 48.0 0.023000002
0.2287 48.0 0.024
0.2287 48.0 0.025
0.2286 48.0 0.026
0.2286 48.0 0.027
0.2288 48.0 0.028
0.2288 48.0 0.029000001
0.2284 48.0 0.030000001
0.2284 48.0 0.031000001
0.2284 48.0 0.032
0.2283 48.0 0.033
0.2283 48.0 0.034
0.2282 48.0 0.035
0.8623 48.0 0.036000002
0.8712 48.0 0.037
0.8719 48.0 0.038000003
0.8716 48.0 0.039
0.8719 48.0 0.040000003
0.8717 48.0 0.041
0.8721 48.0 0.042000003
0.8721 48.0 0.043
0.8725 48.0 0.044000003
0.8719 48.0 0.045
0.872 48.0 0.046000004
0.872 48.0 0.047000002
0.8722 48.0 0.048
0.8721 56.0 0.05
0.872 56.0 0.049000002
0.872 56.0 0.048
0.872 56.0 0.047000002
0.8718 56.0 0.046000004
0.8721 56.0 0.045
0.872 56.0 0.044000003
0.8721 56.0 0.043
0.8719 56.0 0.042000003
0.8717 56.0 0.041
0.8717 56.0 0.040000003
0.8718 56.0 0.039
0.8709 56.0 0.038000003
0.8643 56.0 0.037
0.2338 56.0 0.036000002
0.2338 56.0 0.035
0.2287 56.0 0.034
0.2287 56.0 0.033
0.2288 56.0 0.032
0.2285 56.0 0.031000001
0.2285 56.0 0.030000001
0.2285 56.0 0.029000001
0.2285 56.0 0.028
0.2285 56.0 0.027
0.2285 56.0 0.026
0.2286 56.0 0.025
0.2286 56.0 0.024
0.2291 56.0 0.023000002
0.2291 56.0 0.022000002
0.229 56.0 0.021000002
0.229 56.0 0.020000001
0.2291 56.0 0.019000001
0.2291 56.0 0.018000001
0.229 56.0 0.017
0.2291 56.0 0.016
0.2291 56.0 0.015000001
0.2289 56.0 0.014
0.2289 56.0 0.013
0.229 56.0 0.012
0.229 56.0 0.011000001
0.2285 56.0 0.010000001
0.2285 56.0 0.009000001
0.2293 56.0 0.008
0.229 56.0 0.007
0.229 56.0 0.006
0.229 56.0 0.0050000004
0.229 56.0 0.004
0.2279 56.0 0.003
0.2256 56.0 0.002
0.2144 56.0 0.001
0.215 64.0 0.0
0.2274 64.0 0.001
0.2274 64.0 0.002
0.2285 64.0 0.003
0.2287 64.0 0.004
0.2287 64.0 0.0050000004
0.2293 64.0 0.006
0.2293 64.0 0.007
0.2293 64.0 0.008
0.2293 64.0 0.009000001
0.2295 64.0 0.010000001
0.2295 64.0 0.011000001
0.2296 64.0 0.012
0.2291 64.0 0.013
0.2291 64.0 0.014
0.2299 64.0 0.015000001
0.2299 64.0 0.016
0.2292 64.0 0.017
0.2292 64.0 0.018000001
0.2294 64.0 0.019000001
0.2294 64.0 0.020000001
0.2294 64.0 0.021000002
0.2295 64.0 0.022000002
0.2295 64.0 0.023000002
0.2296 64.0 0.024
0.2296 64.0 0.025
0.2295 64.0 0.026
0.2295 64.0 0.027
0.2296 64.0 0.028
0.2298 64.0 0.029000001
0.2298 64.0 0.030000001
0.2293 64.0 0.031000001
0.2293 64.0 0.032
0.2292 64.0 0.033
0.2288 64.0 0.034
0.2288 64.0 0.035
0.868 64.0 0.036000002
0.8715 64.0 0.037
0.872 64.0 0.038000003
0.8718 64.0 0.039
0.8717 64.0 0.040000003
0.872 64.0 0.041
0.8719 64.0 0.042000003
0.8719 64.0 0.043
0.872 64.0 0.044000003
0.8719 64.0 0.045
0.8719 64.0 0.046000004
0.8721 64.0 0.047000002
0.8721 64.0 0.048
0.8723 72.0 0.05
0.872 72.0 0.049000002
0.8719 72.0 0.048
0.8717 72.0 0.047000002
0.8719 72.0 0.046000004
0.872 72.0 0.045
0.872 72.0 0.044000003
0.872 72.0 0.043
0.8718 72.0 0.042000003
0.8717 72.0 0.041
0.8717 72.0 0.040000003
0.8719 72.0 0.039
0.8719 72.0 0.038000003
0.8601 72.0 0.037
0.8601 72.0 0.036000002
0.2303 72.0 0.035
0.2303 72.0 0.034
0.2298 72.0 0.033
0.2298 72.0 0.032
0.2296 72.0 0.031000001
0.2296 72.0 0.030000001
0.2301 72.0 0.029000001
0.2301 72.0 0.028
0.2294 72.0 0.027
0.2294 72.0 0.026
0.23 72.0 0.025
0.23 72.0 0.024
0.2296 72.0 0.023000002
0.2296 72.0 0.022000002
0.2297 72.0 0.021000002
0.2297 72.0 0.020000001
0.2295 72.0 0.019000001
0.2295 72.0 0.018000001
0.23 72.0 0.017
0.2298 72.0 0.016
0.2298 72.0 0.015000001
0.2301 72.0 0.014
0.2301 72.0 0.013
0.2299 72.0 0.012
0.2299 72.0 0.011000001
0.2297 72.0 0.010000001
0.2297 72.0 0.009000001
0.2298 72.0 0.008
0.2297 72.0 0.007
0.2297 72.0 0.006
0.2299 72.0 0.0050000004
0.2299 72.0 0.004
0.229 72.0 0.003
0.227 72.0 0.002
0.2203 80.0 0.0
0.2221 80.0 0.001
0.2284 80.0 0.002
0.2293 80.0 0.003
0.2293 80.0 0.004
0.2304 80.0 0.0050000004
0.2304 80.0 0.006
0.2304 80.0 0.007
0.2304 80.0 0.008
0.2302 80.0 0.009000001
0.2302 80.0 0.010000001
0.2302 80.0 0.011000001
0.2302 80.0 0.012
0.2298 80.0 0.013
0.2298 80.0 0.014
0.2302 80.0 0.015000001
0.2302 80.0 0.016
0.23 80.0 0.017
0.23 80.0 0.018000001
0.2303 80.0 0.019000001
0.2299 80.0 0.020000001
0.2299 80.0 0.021000002
0.2302 80.0 0.022000002
0.2302 80.0 0.023000002
0.2301 80.0 0.024
0.2301 80.0 0.025
0.2298 80.0 0.026
0.2298 80.0 0.027
0.23 80.0 0.028
0.23 80.0 0.029000001
0.2293 80.0 0.030000001
0.2293 80.0 0.031000001
0.2299 80.0 0.032
0.2299 80.0 0.033
0.2298 80.0 0.034
0.2298 80.0 0.035
0.8629 80.0 0.036000002
0.8717 80.0 0.037
0.8719 80.0 0.038000003
0.8718 80.0 0.039
0.872 80.0 0.040000003
0.8719 80.0 0.041
0.8718 80.0 0.042000003
0.8719 80.0 0.043
0.872 80.0 0.044000003
0.8717 80.0 0.045
0.8721 80.0 0.046000004
0.8721 80.0 0.047000002
0.8722 80.0 0.048
0.8719 80.0 0.049000002
0.8723 88.0 0.05
0.8721 88.0 0.049000002
0.8721 88.0 0.048
0.872 88.0 0.047000002
0.8718 88.0 0.046000004
0.8721 88.0 0.045
0.872 88.0 0.044000003
0.872 88.0 0.043
0.872 88.0 0.042000003
0.8715 88.0 0.041
0.8716 88.0 0.040000003
0.8719 88.0 0.039
0.8717 88.0 0.038000003
0.8646 88.0 0.037
0.8646 88.0 0.036000002
0.2346 88.0 0.035
0.2346 88.0 0.034
0.2297 88.0 0.033
0.2297 88.0 0.032
0.2303 88.0 0.031000001
0.2303 88.0 0.030000001
0.2304 88.0 0.029000001
0.2304 88.0 0.028
0.2303 88.0 0.027
0.2303 88.0 0.026
0.2305 88.0 0.025
0.2305 88.0 0.024
0.2302 88.0 0.023000002
0.2302 88.0 0.022000002
0.2302 88.0 0.021000002
0.2302 88.0 0.020000001
0.2303 88.0 0.019000001
0.2303 88.0 0.018000001
0.2302 88.0 0.017
0.2302 88.0 0.016
0.2305 88.0 0.015000001
0.2305 88.0 0.014
0.2308 88.0 0.013
0.2308 88.0 0.012
0.2301 88.0 0.011000001
0.2301 88.0 0.010000001
0.2304 88.0 0.009000001
0.2304 88.0 0.008
0.2305 88.0 0.007
0.2305 88.0 0.006
0.2306 88.0 0.0050000004
0.2306 88.0 0.004
0.2299 88.0 0.003
0.2278 88.0 0.002
0.2247 96.0 0.0
0.2265 96.0 0.001
0.2296 96.0 0.002
0.2296 96.0 0.003
0.2303 96.0 0.004
0.2303 96.0 0.0050000004
0.231 96.0 0.006
0.231 96.0 0.007
0.2307 96.0 0.008
0.2307 96.0 0.009000001
0.2306 96.0 0.010000001
0.2306 96.0 0.011000001
0.2305 96.0 0.012
0.2305 96.0 0.013
0.2304 96.0 0.014
0.2304 96.0 0.015000001
0.2309 96.0 0.016
0.2309 96.0 0.017
0.2306 96.0 0.018000001
0.2306 96.0 0.019000001
0.2305 96.0 0.020000001
0.2305 96.0 0.021000002
0.2303 96.0 0.022000002
0.2303 96.0 0.023000002
0.2306 96.0 0.024
0.2306 96.0 0.025
0.2306 96.0 0.026
0.2306 96.0 0.027
0.2308 96.0 0.028
0.2308 96.0 0.029000001
0.2304 96.0 0.030000001
0.2304 96.0 0.031000001
0.2304 96.0 0.032
0.2304 96.0 0.033
0.2305 96.0 0.034
0.2305 96.0 0.035
0.8622 96.0 0.036000002
0.8716 96.0 0.037
0.872 96.0 0.038000003
0.8718 96.0 0.039
0.8717 96.0 0.040000003
0.8718 96.0 0.041
0.872 96.0 0.042000003
0.8719 96.0 0.043
0.8722 96.0 0.044000003
0.872 96.0 0.045
0.872 96.0 0.046000004
0.8723 96.0 0.047000002
0.8721 96.0 0.048
0.8718 96.0 0.049000002
0.8721 104.0 0.05
0.872 104.0 0.049000002
0.8718 104.0 0.048
0.8719 104.0 0.047000002
0.8717 104.0 0.046000004
0.872 104.0 0.045
0.8719 104.0 0.044000003
0.872 104.0 0.043
0.8719 104.0 0.042000003
0.8717 104.0 0.041
0.8716 104.0 0.040000003
0.8718 104.0 0.039
0.8714 104.0 0.038000003
0.8703 104.0 0.037
0.8555 104.0 0.036000002
0.23 104.0 0.035
0.23 104.0 0.034
0.23 104.0 0.033
0.2302 104.0 0.032
0.2302 104.0 0.031000001
0.2308 104.0 0.030000001
0.2308 104.0 0.029000001
0.2305 104.0 0.028
0.2305 104.0 0.027
0.2304 104.0 0.026
0.2304 104.0 0.025
0.2309 104.0 0.024
0.2309 104.0 0.023000002
0.2309 104.0 0.022000002
0.2308 104.0 0.021000002
0.2308 104.0 0.020000001
0.2304 104.0 0.019000001
0.2304 104.0 0.018000001
0.2306 104.0 0.017
0.2306 104.0 0.016
0.231 104.0 0.015000001
0.231 104.0 0.014
0.2311 104.0 0.013
0.2311 104.0 0.012
0.2311 104.0 0.011000001
0.2311 104.0 0.010000001
0.2311 104.0 0.009000001
0.2309 104.0 0.008
0.2309 104.0 0.007
0.2311 104.0 0.006
0.2311 104.0 0.0050000004
0.2306 104.0 0.004
0.2306 104.0 0.003
0.2294 104.0 0.002
0.2256 104.0 0.001
0.2263 112.0 0.0
0.2276 112.0 0.001
0.2276 112.0 0.002
0.2299 112.0 0.003
0.2299 112.0 0.004
0.2308 112.0 0.0050000004
0.2308 112.0 0.006
0.2303 112.0 0.007
0.2303 112.0 0.008
0.2306 112.0 0.009000001
0.2306 112.0 0.010000001
0.2306 112.0 0.011000001
0.2306 112.0 0.012
0.2306 112.0 0.013
0.231 112.0 0.014
0.231 112.0 0.015000001
0.2312 112.0 0.016
0.2312 112.0 0.017
0.2305 112.0 0.018000001
0.2305 112.0 0.019000001
0.2305 112.0 0.020000001
0.2303 112.0 0.021000002
0.2303 112.0 0.022000002
0.2304 112.0 0.023000002
0.2304 112.0 0.024
0.2305 112.0 0.025
0.2305 112.0 0.026
0.2304 112.0 0.027
0.2304 112.0 0.028
0.2304 112.0 0.029000001
0.2308 112.0 0.030000001
0.2308 112.0 0.031000001
0.2304 112.0 0.032
0.2304 112.0 0.033
0.2296 112.0 0.034
0.2296 112.0 0.035
0.2296 112.0 0.036000002
0.8719 112.0 0.037
0.8718 112.0 0.038000003
0.8718 112.0 0.039
0.8719 112.0 0.040000003
0.8719 112.0 0.041
0.872 112.0 0.042000003
0.8718 112.0 0.043
0.8721 112.0 0.044000003
0.8716 112.0 0.045
0.872 112.0 0.046000004
0.872 112.0 0.047000002
0.8722 112.0 0.048
0.872 120.0 0.05
0.8721 120.0 0.049000002
0.872 120.0 0.048
0.8721 120.0 0.047000002
0.8721 120.0 0.046000004
0.8719 120.0 0.045
0.8719 120.0 0.044000003
0.8719 120.0 0.043
0.8718 120.0 0.042000003
0.8718 120.0 0.041
0.8719 120.0 0.040000003
0.8719 120.0 0.039
0.8716 120.0 0.038000003
0.8611 120.0 0.037
0.8611 120.0 0.036000002
0.2301 120.0 0.035
0.2301 120.0 0.034
0.2301 120.0 0.033
0.2302 120.0 0.032
0.2302 120.0 0.031000001
0.2306 120.0 0.030000001
0.2306 120.0 0.029000001
0.2306 120.0 0.028
0.2309 120.0 0.027
0.2309 120.0 0.026
0.2307 120.0 0.025
0.2307 120.0 0.024
