# Measuring Scanner Data
# 
# Format Information:
# <distance> <rotation> <shift>
# Distance to Center: 0.2554

-0.020099998 40.0 0.006
-0.027899995 40.0 0.008
-0.0291 40.0 0.010000001
-0.030300006 40.0 0.012
-0.031100005 40.0 0.014
-0.031900004 40.0 0.016
-0.0326 40.0 0.018000001
-0.03310001 40.0 0.020000001
-0.0335 40.0 0.022000002
-0.034600005 40.0 0.024
-0.034500003 40.0 0.026
-0.034099996 40.0 0.028
-0.033700004 40.0 0.030000001
-0.0335 40.0 0.032
-0.032900006 40.0 0.034
-0.03220001 40.0 0.036000002
-0.031100005 40.0 0.038000003
-0.028899997 40.0 0.040000003
-0.027999997 40.0 0.042000003
-0.0264 40.0 0.044000003
-0.025399998 40.0 0.046000004
-0.024300009 40.0 0.048
-0.023000002 40.0 0.05
-0.0211 40.0 0.052
-0.019000009 40.0 0.054
-0.017800003 40.0 0.056
-0.015100002 40.0 0.058000002
-0.010600001 40.0 0.060000002
-0.010299996 40.0 0.062000003
-0.010299996 40.0 0.064
-0.010299996 40.0 0.066
-0.010399997 40.0 0.068
-0.0159 40.0 0.07
-0.019999996 40.0 0.072000004
-0.022200003 40.0 0.074
-0.022400007 40.0 0.076000005
-0.022500008 40.0 0.078
-0.022100002 40.0 0.080000006
-0.020999998 40.0 0.082
-0.012700006 40.0 0.08400001
-0.012700006 40.0 0.086
-0.012800008 40.0 0.08800001
-0.016300008 40.0 0.09
-0.016900003 40.0 0.09200001
-0.016200006 40.0 0.094000004
-0.015400007 40.0 0.096
-0.008000001 50.0 0.1
-0.009000003 50.0 0.098000005
-0.009599999 50.0 0.096
-0.009900004 50.0 0.094000004
-0.010800004 50.0 0.09200001
-0.010700002 50.0 0.09
-0.011700004 50.0 0.08800001
-0.011900008 50.0 0.086
-0.016800001 50.0 0.08400001
-0.018100008 50.0 0.082
-0.018399999 50.0 0.080000006
-0.01640001 50.0 0.078
-0.013400003 50.0 0.076000005
-0.010000005 50.0 0.074
-0.0097 50.0 0.072000004
-0.009200007 50.0 0.07
-0.008599997 50.0 0.068
-0.008200005 50.0 0.066
-0.008300006 50.0 0.064
-0.0088 50.0 0.062000003
-0.015500009 50.0 0.060000002
-0.016300008 50.0 0.058000002
-0.018100008 50.0 0.056
-0.019800007 50.0 0.054
-0.020999998 50.0 0.052
-0.022699997 50.0 0.05
-0.024399996 50.0 0.048
-0.026199996 50.0 0.046000004
-0.027199998 50.0 0.044000003
-0.027999997 50.0 0.042000003
-0.029300004 50.0 0.040000003
-0.030100003 50.0 0.038000003
-0.030699998 50.0 0.036000002
-0.032800004 50.0 0.034
-0.032800004 50.0 0.032
-0.0335 50.0 0.030000001
-0.0334 50.0 0.028
-0.0326 50.0 0.026
